Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person
Sukendar,Tanuwidjaja,Sukendar@livex.com,Tual,17-5-2018,KP0625AF,36252,2,N/A,JENT,N,El-171
Indriani,hartono,Indriani@ymailx.com,Ambon,16-5-2018,KP0850FB,36906,9,4,Swift Delivery,Y,An-171
Prasodjo,Limman,LIMMAN@outlookx.com,Lhokseumawe,14-5-2018,KP0625AF,36339,6,4,Swift Delivery,N,Xc-101
Edoardus,Oentoro,Edoardus@outlookx.com,Pangkalpinang,5-10-2018,KP0150BH,35278,9,4,JENT,Y,Az-120
Kakan,Pascal,PASCAL@gmailx.com,Jakarta Barat,5-10-2018,KP0625AF,35501,10,N/A,JENT,Y,Im-333
Gunawan,Budiono,Gunawan@ymailx.com,Padang Sidempuan,5-9-2018,KP0425CB,36943,7,4,JENT,Y,Cz-662
Henry,Handajani,Handajani@ymailx.com,Sukabumi,5-9-2018,KP0150BH,36139,4,N/A,JENT,Y,Sm-409
hary ,Tanuwiradjaja,"Tanuwiradjaja@gmailx.com,",Bogor,5-7-2018,KP0850FB,36461,5 buah,5,Cepat Kirim,Y,Es-409
Stephan,irwan,Irwan@icloudx.com,Sungai Penuh,5-4-2018,KP0625AF,35295,7,N/A,Cepat Kirim,N,Sb-512
Joachim,Susanto,Susanto@ymailx.com,Tanjungpinang,5-3-2018,KP0150BH,36944,6,N/A,Wakanda Express,Y,Jf-809
Ignatius,Ramchand ,Ignatius@gmailx.com,Pontianak,5-3-2018,KP0750AJ,36714,4,N/A,JENT,Y,Ta-880
Eddy,Tenacious,Eddy@livex.com,Tanjungbalai,28-4-2018,KP0925SG,36277,7,N/A,Cepat Kirim,Y,Iy-662
Omar ,Anggono,"Omar@rocketmailx.com,",Sawahlunto,27-4-2018,KP0425CB,35591,4 buah,N/A,Wakanda Express,N,Ac-559
arianto ,Ciputra ,CIPUTRA@gmailx.com,Ternate,26-4-2018,KP0925SG,36105,2 buah,N/A,JENT,Y,Cu-160
Joachim,Sri ,Sri@gmailx.com,Blitar,26-4-2018,KP0625AF,36501,9,N/A,JENT,Y,Xv-123
muddai ,Anwar,Anwar@ymailx.com,Tangerang Selatan,25-4-2018,KP0925SG,35451,8 buah,N/A,Pru Logistic,Y,Bb-500
Henky,Energy ,ENERGY@ymailx.com,Tomohon,25-4-2018,KP0625AF,35212,5,N/A,JENT,Y,Nx-221
Roos,Oil,Roos@ymailx.com,Meulaboh,25-4-2018,KP0150BH,36032,9,N/A,Cepat Kirim,N,Lv-101
Hardi,Leban,"HARDI@gmailx.com,",Bengkulu,25-4-2018,KP0925SG,36864,4,4,Cepat Kirim,Y,Pv-300
Septiana,soetoyo,Septiana@gmailx.com,Pekanbaru,25-4-2018,KP0925SG,36945,5,1,JENT,N,Yn-222
Jimmy,sutiono,Jimmy@ymailx.com,Lubuklinggau,25-4-2018,KP0625AF,35778,9,N/A,Pru Logistic,Y,Uf-661
Ivy,Ngaw,IVY@gmailx.com,Ambon,24-4-2018,KP0750AJ,36586,4,N/A,Wakanda Express,Y,Qn-171
Bayu,Harapan,Harapan@outlookx.com,Bandung,24-4-2018,KP0625AF,36772,4,4,JENT,Y,Pk-409
Lee,su,Lee@gmailx.com,Pariaman,24-4-2018,KP0350CF,35759,5,3,JENT,Y,Fq-559
eva ,Nurlaila,"Nurlaila@gmailx.com,",Tanjungpinang,22-4-2018,KP0925SG,36872,9 buah,N/A,Cepat Kirim,Y,Ff-809
Agung,hakim,"Hakim@ymailx.com,",Bukittinggi,21-4-2018,KP0625AF,35657,3,N/A,Swift Delivery,Y,Be-559
Sammy ,J.B,Sammy@icloudx.com,Bitung,20-4-2018,KP0150BH,35267,2 buah,4,Swift Delivery,N,Os-221
Hendarta,Yunasri,Hendarta@gmailx.com,Magelang,18-4-2018,KP0750AJ,35877,8,5,Pru Logistic,Y,Uq-410
Dr.,Mulyana,Dr.@livex.com,Padang Sidempuan,16-4-2018,KP0350CF,35121,3,5,Pru Logistic,Y,Ld-662
Melissa,Nainggolan ,Nainggolan@rocketmailx.com,Metro,15-4-2018,KP0225BB,36319,10,N/A,JENT,Y,Om-150
Linda,Koeswojo,Koeswojo@gmailx.com,Serang,14-4-2018,KP0925SG,36402,6,4,Wakanda Express,Y,Es-500
Achmad,Budiyanto,Achmad@ymailx.com,Madiun,13-4-2018,KP0150BH,36575,9,2,Swift Delivery,Y,Fv-123
Pedro,Patrick ,Pedro@livex.com,Mataram,13-4-2018,KP0925SG,36574,6,5,JENT,N,Rk-183
Sally,ciputra,CIPUTRA@rocketmailx.com,Cimahi,4-11-2018,KP0750AJ,35158,2,N/A,Swift Delivery,N,Eg-409
rachmat ,Rachmat,"RACHMAT@rocketmailx.com,",Jakarta Utara,4-10-2018,KP0150BH,35320,5 buah,N/A,Cepat Kirim,N,Gy-333
Johan ,Williang,"Williang@ymailx.com,",Bima,4-9-2018,KP0850FB,35282,8 buah,N/A,Swift Delivery,Y,Nb-183
ninik ,Hendri ,Ninik@rocketmailx.com,Pasuruan,4-7-2018,KP0850FB,35221,5 buah,4,JENT,N,Wn-123
lucia ,Sjarif,Sjarif@rocketmailx.com,Padangpanjang,4-5-2018,KP0625AF,35863,3 buah,4,JENT,Y,Tx-559
Juliati,Yu-Cheng,Yu-Cheng@gmailx.com,Surabaya,4-3-2018,KP0925SG,35272,9,4,Swift Delivery,Y,Ly-123
Eddy,Tjiu,Eddy@ymailx.com,Mataram,4-1-2018,KP0925SG,36337,6,N/A,JENT,Y,Nz-183
a. ,Djojosudirdjo,A.@gmailx.com,Metro,26-3-2018,KP0625AF,36926,6 buah,N/A,Cepat Kirim,Y,Zc-150
Faiz,Christranto,Christranto@icloudx.com,Palu,23-3-2018,KP0925SG,36042,8,N/A,Swift Delivery,Y,Fi-280
Indahwaty,aryanto,Aryanto@ymailx.com,Jayapura,21-3-2018,KP0750AJ,36915,3,N/A,Swift Delivery,Y,Vl-990
Sri,dharmaputra,Sri@livex.com,Tomohon,21-3-2018,KP0850FB,35005,7,N/A,JENT,N,Ry-221
herdin ,Pierre,"Pierre@ymailx.com,",Banjarmasin,20-3-2018,KP0850FB,35498,5 buah,N/A,Swift Delivery,Y,On-991
Soebali,widjaja,Widjaja@mex.com,Jambi,20-3-2018,KP0850FB,35811,2,4,Swift Delivery,N,Pm-512
andrew ,H.,H.@livex.com,Tanjungpinang,19-3-2018,KP0350CF,36591,5 buah,N/A,Wakanda Express,Y,Qs-809
John,nicolas,John@gmailx.com,Palangkaraya,17-3-2018,KP0750AJ,35270,9,N/A,Wakanda Express,Y,Mw-992
Ang,Tjokrosaputro,Ang@ymailx.com,Batu,16-3-2018,KP0925SG,35215,2,N/A,Wakanda Express,Y,Ce-123
Harry,daud,Harry@ymailx.com,Tasikmalaya,16-3-2018,KP0425CB,35333,5,4,Swift Delivery,Y,Ph-409
barlianto ,Soeria,Soeria@outlookx.com,Lhokseumawe,13-3-2018,KP0850FB,35686,5 buah,N/A,Wakanda Express,Y,Ht-101
Junus,Widjaja,Junus@ymailx.com,Palu,13-3-2018,KP0150BH,35573,8,N/A,JENT,Y,Lq-280
Ichsanuddin,Suhendra,Suhendra@ymailx.com,Tanjungpinang,3-11-2018,KP0225BB,35355,10,4,Cepat Kirim,Y,Ak-809
Dodi,Pramaditia,Dodi@ymailx.com,Bengkulu,3-11-2018,KP0350CF,35727,9,N/A,Wakanda Express,Y,Dt-300
Rudy ,Hartono,Rudy@gmailx.com,Jakarta Selatan,3-10-2018,KP0750AJ,36794,10 buah,2,Swift Delivery,N,Er-333
hadysugani ,Office,Hadysugani@ymailx.com,Subulussalam,3-10-2018,KP0625AF,35324,5 buah,N/A,Wakanda Express,Y,Ze-101
Handoyo ,Tjipto,"Handoyo@gmailx.com,",Probolinggo,3-9-2018,KP0225BB,36996,2 buah,N/A,Cepat Kirim,Y,Do-123
Handy,Busono,"Busono@gmailx.com,",Tual,3-8-2018,KP0750AJ,35967,9,N/A,Swift Delivery,Y,Hp-171
Myrna ,Markart,Myrna@mex.com,Prabumulih,3-7-2018,KP0050AG,35328,5 buah,4,JENT,N,Pk-661
Jessy ,M.,Jessy@gmailx.com,Tangerang Selatan,3-7-2018,KP0850FB,35826,6 buah,4,JENT,Y,Wr-500
lily ,Tjahaja,Tjahaja@gmailx.com,Tegal,3-6-2018,KP0150BH,36527,5 buah,N/A,Swift Delivery,Y,Qz-410
Jimmy,Phair ,Phair@gmailx.com,Solok,3-2-2018,KP0050AG,35152,6,N/A,JENT,Y,Yc-559
Sembodo,Silya,Silya@icloudx.com,Dumai,3-2-2018,KP0050AG,36428,3,N/A,Swift Delivery,N,Yc-222
Raju,Halim,"Raju@outlookx.com,",Sawahlunto,3-2-2018,KP0625AF,35982,3,3,Cepat Kirim,N,Ic-559
Rulyani,Pacific ,Rulyani@mex.com,Banjar,28-2-2018,KP0925SG,36420,10,N/A,JENT,N,Fm-409
Iskandar,Bisono,Iskandar@ymailx.com,Langsa,27-2-2018,KP0750AJ,35090,2,N/A,JENT,Y,No-101
anna ,Kosasih,Anna@gmailx.com,Pontianak,22-2-2018,KP0050AG,36641,10 buah,4,Wakanda Express,Y,Aj-880
Le,Helvani,LE@icloudx.com,Batam,22-2-2018,KP0925SG,35103,5,N/A,Swift Delivery,Y,Qq-809
Michelle,soesanto,Soesanto@gmailx.com,Purwokerto,22-2-2018,KP0925SG,36464,9,N/A,Wakanda Express,Y,Eo-410
Jacub,Sukardjo,Sukardjo@gmailx.com,Malang,18-2-2018,KP0925SG,35143,4,N/A,Wakanda Express,Y,Hx-123
Ng,Wibowo,NG@icloudx.com,Sorong,17-2-2018,KP0750AJ,35086,3,N/A,Cepat Kirim,N,Cf-999
Krishnan,Jusuf,Krishnan@gmailx.com,Sungai Penuh,16-2-2018,KP0150BH,35192,10,N/A,Pru Logistic,Y,Nw-512
Omar,Golfiani,GOLFIANI@ymailx.com,Bukittinggi,16-2-2018,KP0350CF,36247,8,N/A,Wakanda Express,N,Xt-559
Linda,Unjoto ,Linda@gmailx.com,Magelang,16-2-2018,KP0750AJ,35768,2,1,JENT,Y,Vm-410
Arniaty,Surya,SURYA@livex.com,Tarakan,15-2-2018,KP0850FB,36655,7,2,Swift Delivery,Y,Gw-994
Gareth ,Wijaya,Wijaya@icloudx.com,Tangerang Selatan,13-2-2018,KP0925SG,35813,9 buah,N/A,Wakanda Express,Y,Rj-500
Andang,stratton,Andang@livex.com,Mojokerto,13-2-2018,KP0750AJ,35096,2,N/A,Pru Logistic,Y,Xs-123
Jose,And ,and@ymailx.com,Manado,2-12-2018,KP0750AJ,35950,5,4,JENT,Y,Mm-221
Ismail,Mulio,Ismail@ymailx.com,Bengkulu,2-10-2018,KP0850FB,36955,5,4,Wakanda Express,Y,Ek-300
levi ,Stephana,Stephana@gmailx.com,Pontianak,2-8-2018,KP0750AJ,36216,6 buah,4,Wakanda Express,Y,Ik-880
Bambang,Magdangal,Magdangal@livex.com,Padang,2-8-2018,KP0150BH,35516,6,N/A,Wakanda Express,Y,Jj-559
Iroshita,Moeliana,Moeliana@gmailx.com,Parepare,2-6-2018,KP0150BH,35157,9,N/A,Pru Logistic,Y,Fi-290
Anton,lal ,Anton@gmailx.com,Padang,2-6-2018,KP0150BH,36409,4,N/A,JENT,Y,Qo-559
Eka ,Goenawan,Eka@ymailx.com,Pekanbaru,2-5-2018,KP0850FB,36997,2 buah,5,Pru Logistic,Y,Zw-222
Adi,tedjo,Adi@livex.com,Tebingtinggi,2-5-2018,KP0750AJ,36158,5,N/A,Wakanda Express,Y,Sz-662
Evi,capital,Capital@livex.com,Tual,2-4-2018,KP0350CF,36795,2,4,JENT,Y,Vt-171
Heru ,Kiemas ,Heru@ymailx.com,Palangkaraya,2-1-2018,KP0150BH,36812,7 buah,4,JENT,Y,Ze-992
Sohet,Dorpi,Sohet@outlookx.com,Bontang,2-1-2018,KP0850FB,35537,4,3,Swift Delivery,N,Bv-993
Ongko,faried,Faried@outlookx.com,Palangkaraya,2-1-2018,KP0425CB,36413,10,N/A,JENT,N,Ms-992
Donny,Barki,Barki@ymailx.com,Purwokerto,27-1-2018,KP0850FB,35363,2,N/A,Pru Logistic,Y,Bs-410
doni ,Tjokrosaputro,Doni@gmailx.com,Metro,26-1-2018,KP0750AJ,36356,6 buah,N/A,Pru Logistic,Y,Sd-150
ricky ,Nuryono,Nuryono@outlookx.com,Jakarta Pusat,25-1-2018,KP0150BH,35208,8 buah,N/A,Pru Logistic,N,Np-333
Ravi,ta,Ta@livex.com,Balikpapan,25-1-2018,KP0750AJ,36123,2,3,Pru Logistic,N,Ml-993
Hioe,Unjoto,Unjoto@ymailx.com,Bandar Lampung,24-1-2018,KP0750AJ,36624,6,1,Cepat Kirim,Y,Rl-150
Murdaya,Leo,Leo@icloudx.com,Bau-Bau,24-1-2018,KP0925SG,35505,4,N/A,Swift Delivery,N,Ez-250
Hadidarma ,Toi,"Toi@ymailx.com,",Solok,23-1-2018,KP0225BB,35931,7 buah,N/A,JENT,Y,Yq-559
Henry ,Koesnadi,KOESNADI@gmailx.com,Bandar Lampung,20-1-2018,KP0150BH,35673,10 buah,4,Swift Delivery,Y,Xf-150
Florden,Moenzir,Moenzir@ymailx.com,Samarinda,19-1-2018,KP0850FB,35671,6,N/A,JENT,Y,Iw-993
Harry,Sastrajaya,"Harry@gmailx.com,",Serang,17-1-2018,KP0750AJ,35346,3,N/A,Swift Delivery,Y,Ph-500
Hendra,valiant,Hendra@gmailx.com,Tarakan,17-1-2018,KP0750AJ,36583,3,N/A,Wakanda Express,Y,Mg-994
dicky ,Raviana,Raviana@ymailx.com,Sukabumi,16-1-2018,KP0850FB,36594,8 buah,N/A,Wakanda Express,Y,Aa-409
Budi ,Sie,Budi@outlookx.com,Blitar,15-1-2018,KP0925SG,36495,6 buah,3,JENT,Y,Qp-123
Achmad,c.,C.@ymailx.com,Pekanbaru,15-1-2018,KP0225BB,35935,5,N/A,JENT,Y,Qs-222
Pernardi,Waty,Pernardi@outlookx.com,Sukabumi,14-1-2018,KP0150BH,35880,2,N/A,Cepat Kirim,N,Bt-409
hilary ,Siddik ,Hilary@gmailx.com,Tebingtinggi,13-1-2018,KP0425CB,35769,8 buah,N/A,JENT,Y,Zf-662
Dewi,Maria ,Dewi@gmailx.com,Palangkaraya,13-1-2018,KP0850FB,36383,5,N/A,JENT,Y,Il-992
Miranda,kardono,Miranda@icloudx.com,Pematangsiantar,13-1-2018,KP0550EH,35852,9,N/A,Wakanda Express,Y,Ba-662
Solihin ,Johnny,Solihin@outlookx.com,Tidore Kepulauan,1-12-2018,KP0425CB,35970,3 buah,2,Swift Delivery,N,Yc-160
Bachrumsyah ,Rion,Bachrumsyah@icloudx.com,Tual,1-10-2018,KP0350CF,36314,4 buah,4,Wakanda Express,Y,Zz-171
ronald ,Miksar,Ronald@icloudx.com,Sawahlunto,1-9-2018,KP0850FB,35903,10 buah,N/A,Wakanda Express,N,Of-559
suhangkat ,Santoso ,Suhangkat@mex.com,Tangerang,1-9-2018,KP0925SG,36948,6 buah,4,JENT,N,Za-500
Bong,Ruwiyadi,Bong@gmailx.com,Banjar,1-9-2018,KP0150BH,35137,7,N/A,Cepat Kirim,Y,Gz-409
Khou,Surono,"Khou@gmailx.com,",Banjar,1-8-2018,KP0425CB,35712,10,2,Swift Delivery,Y,Sn-409
Hotman,derice,Hotman@ymailx.com,Metro,1-8-2018,KP0425CB,36690,10,N/A,Wakanda Express,Y,Zw-150
Gt,Niaga,GT@gmailx.com,Lhokseumawe,1-7-2018,KP0350CF,36361,9,4,Wakanda Express,Y,Us-101
sari ,Richard,"Sari@icloudx.com,",Banjarbaru,1-6-2018,KP0625AF,36142,9 buah,N/A,Swift Delivery,N,Zk-991
Choo,Karamchandani,Choo@outlookx.com,Tasikmalaya,1-1-2018,KP0225BB,35092,4,N/A,Pru Logistic,Y,Gh-409
Hermansjah,putra,Hermansjah@ymailx.com,Banda Aceh,1-1-2018,KP0850FB,36134,6,N/A,Cepat Kirim,Y,Rh-101
Septo ,Ong,"Septo@ymailx.com,",Banda Aceh,28-12-2017,KP0850FB,36838,3 buah,N/A,Cepat Kirim,N,Tr-101
Metta,Basyir,Metta@ymailx.com,Medan,28-12-2017,KP0850FB,35628,4,N/A,Swift Delivery,Y,Rn-662
Andrew ,Eddy,Andrew@ymailx.com,Manado,27-12-2017,KP0350CF,36598,6 buah,4,Swift Delivery,Y,Qo-221
rori ,Group,Group@ymailx.com,Pariaman,27-12-2017,KP0750AJ,35311,8 buah,N/A,JENT,N,Rh-559
Baldeo,Agil ,Baldeo@ymailx.com,Tomohon,26-12-2017,KP0050AG,35959,7,N/A,JENT,Y,Uj-221
Adji,Widjojo,"Adji@livex.com,",Tarakan,26-12-2017,KP0850FB,36748,6,N/A,Cepat Kirim,Y,Ak-994
iwan ,Hardjanto,"Iwan@ymailx.com,",Singkawang,24-12-2017,KP0050AG,36548,5 buah,N/A,Swift Delivery,Y,Fb-880
roni ,Landajani,Landajani@gmailx.com,Sorong,23-12-2017,KP0750AJ,35384,4 buah,N/A,Wakanda Express,N,Be-999
Multi-Holdings,Asia ,Multi-Holdings@rocketmailx.com,Bima,23-12-2017,KP0050AG,36174,8,N/A,JENT,N,Bl-183
Hardy,Noer,Hardy@ymailx.com,Langsa,23-12-2017,KP0625AF,35876,3,4,Swift Delivery,Y,Ev-101
Handy,Budiman,"Handy@ymailx.com,",Jakarta Timur,23-12-2017,KP0350CF,36437,7,4,Cepat Kirim,Y,In-333
pat ,Mulyono,Pat@livex.com,Tanjungpinang,18-12-2017,KP0625AF,36460,3 buah,N/A,JENT,N,Ez-809
Gary ,Yohan,Gary@ymailx.com,Tanjungpinang,16-12-2017,KP0350CF,35724,9 buah,N/A,Cepat Kirim,Y,Ij-809
asian ,Femi,Femi@ymailx.com,Payakumbuh,14-12-2017,KP0750AJ,36209,5 buah,N/A,Wakanda Express,Y,Zu-559
Basir,Moeis,Moeis@livex.com,Tarakan,13-12-2017,KP0850FB,36378,2,N/A,Wakanda Express,Y,Xm-994
douglas ,Lucas ,Lucas@livex.com,Binjai,12-12-2017,KP0050AG,36150,2 buah,N/A,JENT,Y,Ax-662
Rafael,Andhika,Andhika@rocketmailx.com,Kupang,12-12-2017,KP0750AJ,36190,2,4,JENT,N,Ui-185
Heru,Lekhraj,Lekhraj@ymailx.com,Bontang,12-10-2017,KP0850FB,35701,10,4,JENT,Y,Pp-993
B.,Kurniadi,B.@gmailx.com,Medan,12-10-2017,KP0350CF,36531,6,N/A,Wakanda Express,Y,Sb-662
Sugiono,securities,Securities@icloudx.com,Lubuklinggau,12-7-2017,KP0850FB,35369,2,2,JENT,N,Hm-661
Law,effendi,Effendi@outlookx.com,Banjar,12-7-2017,KP0750AJ,35682,5,N/A,Pru Logistic,Y,En-409
Peter,Ongko,Peter@gmailx.com,Padangpanjang,12-5-2017,KP0925SG,35941,5,3,Wakanda Express,N,Au-559
Ridwan,Tejowarno,"Tejowarno@ymailx.com,",Sibolga,28-11-2017,KP0850FB,36994,10,N/A,Swift Delivery,N,El-662
Irawan,Moi,Moi@gmailx.com,Manado,28-11-2017,KP0750AJ,36902,8,N/A,Wakanda Express,Y,Fi-221
henking ,Ikbal ,Ikbal@ymailx.com,Pontianak,26-11-2017,KP0050AG,36660,10 buah,N/A,JENT,Y,Hq-880
Lee ,Faizal,Lee@livex.com,Mojokerto,25-11-2017,KP0850FB,36470,4 buah,N/A,JENT,Y,Zb-123
Fifi,Melbourne,MELBOURNE@outlookx.com,Gorontalo,23-11-2017,KP0625AF,36184,10,5,Wakanda Express,Y,Fq-983
Effendy,Halim ,Halim@icloudx.com,Malang,22-11-2017,KP0925SG,35154,2,N/A,JENT,Y,Wj-123
Chew,Widjaja ,Chew@livex.com,Tomohon,21-11-2017,KP0425CB,35341,3,N/A,JENT,Y,Wm-221
Hendy ,Masehi,Hendy@gmailx.com,Pangkalpinang,19-11-2017,KP0850FB,36450,7 buah,4,Cepat Kirim,Y,Ou-120
martina ,Arto,Martina@livex.com,Tanjungpinang,19-11-2017,KP0625AF,35829,5 buah,4,Wakanda Express,Y,Kz-809
erwin ,Salim,Salim@icloudx.com,Jambi,18-11-2017,KP0050AG,36060,8 buah,5,Swift Delivery,Y,Ci-512
Erwin,Halim,Halim@livex.com,Pekalongan,17-11-2017,KP0150BH,35894,4,N/A,Wakanda Express,Y,Wg-410
irawan ,Ahmad,Irawan@gmailx.com,Banjarmasin,16-11-2017,KP0850FB,36489,3 buah,N/A,Swift Delivery,Y,Wd-991
Stewart,Gallamnn,Gallamnn@mex.com,Banjarbaru,16-11-2017,KP0750AJ,35576,6,4,Wakanda Express,N,Cu-991
Lauw,Dewono,Dewono@gmailx.com,Manado,16-11-2017,KP0925SG,35097,5,N/A,Wakanda Express,Y,Lj-221
Irawan ,Angkawidjaja,IRAWAN@ymailx.com,Semarang,15-11-2017,KP0050AG,35513,5 buah,N/A,Swift Delivery,Y,Ux-410
alien ,Irwan,Irwan@gmailx.com,Tasikmalaya,13-11-2017,KP0625AF,36251,2 buah,4,JENT,Y,Ol-409
rachmat ,Rahayu,Rahayu@ymailx.com,Gorontalo,11-12-2017,KP0625AF,35975,6 buah,N/A,JENT,N,Gy-983
krisnadi ,Widjajanti ,Krisnadi@gmailx.com,Bandar Lampung,11-10-2017,KP0925SG,35858,10 buah,N/A,JENT,Y,Ih-150
Linda,Kee,Linda@outlookx.com,Tebingtinggi,11-10-2017,KP0925SG,36736,9,4,JENT,Y,Fw-662
joachim ,Jahja,Joachim@ymailx.com,Mojokerto,11-5-2017,KP0850FB,35061,6 buah,N/A,Swift Delivery,Y,My-123
Dewi,maclachlan,Maclachlan@icloudx.com,Surakarta,11-5-2017,KP0625AF,35797,10,4,Wakanda Express,Y,Eb-410
Siman,pujiastuti ,Siman@outlookx.com,Padang Sidempuan,11-5-2017,KP0625AF,35660,6,4,JENT,N,Qo-662
elizabeth ,Widjoyo,Elizabeth@gmailx.com,Bogor,11-4-2017,KP0150BH,35653,4 buah,N/A,Pru Logistic,Y,Or-409
erwin ,Anand,Anand@gmailx.com,Sabang,11-3-2017,KP0350CF,35365,5 buah,5,Cepat Kirim,Y,Tc-101
Iwan,Faisal,Faisal@ymailx.com,Lhokseumawe,11-2-2017,KP0850FB,35150,6,N/A,Swift Delivery,Y,Vm-101
Andi,hamdani,Andi@ymailx.com,Tual,11-2-2017,KP0850FB,36312,2,N/A,Swift Delivery,Y,Js-171
Benjamin,s.,Benjamin@icloudx.com,Gorontalo,11-2-2017,KP0750AJ,35377,2,N/A,JENT,Y,Qu-983
Darmawansjah,Johan,Johan@outlookx.com,Meulaboh,28-10-2017,KP0350CF,36642,7,5,Wakanda Express,Y,Dj-101
Abu,"Sally,",Abu@ymailx.com,Balikpapan,27-10-2017,KP0350CF,36012,7,N/A,Cepat Kirim,Y,Qc-993
Alexandra,muljo,"Alexandra@ymailx.com,",Mojokerto,27-10-2017,KP0625AF,36606,9,N/A,Cepat Kirim,Y,Pi-123
Calvin,Carmen,Calvin@icloudx.com,Pariaman,26-10-2017,KP0750AJ,36482,8,N/A,Cepat Kirim,Y,Hm-559
Aurelia,Siregar,"Aurelia@livex.com,",Cilegon,25-10-2017,KP0625AF,35649,5,4,Cepat Kirim,Y,Iq-500
David,Hirawan,Hirawan@outlookx.com,Batam,24-10-2017,KP0850FB,35854,8,4,JENT,Y,Zf-809
Gunawan,Api,"Gunawan@gmailx.com,",Kotamobagu,21-10-2017,KP0750AJ,36650,10,N/A,Swift Delivery,Y,Nr-221
Herman,sutandinata,Sutandinata@gmailx.com,Blitar,20-10-2017,KP0625AF,36418,10,N/A,Pru Logistic,Y,Jl-123
Istini,Setyawan,Setyawan@ymailx.com,Palembang,19-10-2017,KP0225BB,35822,4,2,Wakanda Express,Y,Dx-661
Guat,Lie ,Guat@gmailx.com,Sorong,17-10-2017,KP0350CF,35387,3,2,JENT,Y,Dq-999
eric ,Setiawan,Setiawan@outlookx.com,Denpasar,16-10-2017,KP0050AG,35378,5 buah,N/A,Swift Delivery,Y,Ey-201
Michael,limited,Limited@icloudx.com,Cirebon,15-10-2017,KP0425CB,35765,4,4,Wakanda Express,Y,Oj-409
siauw ,Leuchtenberg,Leuchtenberg@gmailx.com,Bandung,14-10-2017,KP0850FB,36476,6 buah,4,JENT,N,Fj-409
Aziar,Rusli,"Aziar@ymailx.com,",Jambi,13-10-2017,KP0850FB,36804,9,N/A,Swift Delivery,Y,Pz-512
dan ,Sandjojo,"Sandjojo@gmailx.com,",Banjar,10-12-2017,KP0850FB,36756,10 buah,N/A,Swift Delivery,Y,Vo-409
Subuh,Luciana,Subuh@outlookx.com,Banjar,10-12-2017,KP0150BH,35677,10,5,JENT,N,Lq-409
Retno,Meriati,Retno@livex.com,Makassar,10-10-2017,KP0850FB,35930,5,N/A,Wakanda Express,N,Tl-290
Chandler,Sumantri,"Chandler@icloudx.com,",Tasikmalaya,10-9-2017,KP0925SG,36422,3,N/A,Cepat Kirim,Y,Uc-409
Roger ,Lim,Roger@gmailx.com,Metro,10-7-2017,KP0350CF,35853,8 buah,N/A,Wakanda Express,N,Lv-150
Rudi,Mang,Mang@gmailx.com,Malang,10-6-2017,KP0925SG,36469,2,N/A,Cepat Kirim,N,Rl-123
Jemmy,soegiharto,Soegiharto@gmailx.com,Meulaboh,10-4-2017,KP0925SG,36949,2,2,Wakanda Express,Y,Zj-101
kang ,Perkasa,Kang@ymailx.com,Salatiga,10-3-2017,KP0925SG,36678,9 buah,5,Swift Delivery,Y,Fm-410
Nini,Lim,Nini@icloudx.com,Tangerang Selatan,10-3-2017,KP0850FB,36107,8,N/A,JENT,N,Rc-500
Lijatini,Suryati,Suryati@gmailx.com,Lubuklinggau,10-2-2017,KP0350CF,36904,7,N/A,JENT,Y,Wg-661
Edi,Mailoa,Edi@ymailx.com,Banjarbaru,10-2-2017,KP0225BB,35443,4,5,Wakanda Express,Y,Qe-991
Kitty,dharma ,Dharma@ymailx.com,Solok,10-1-2017,KP0150BH,35482,5,N/A,JENT,Y,Fj-559
Sujono ,Franklin ,Franklin@outlookx.com,Cilegon,28-9-2017,KP0625AF,36757,10 buah,N/A,JENT,N,Up-500
Leda,Indra,Indra@rocketmailx.com,Ternate,28-9-2017,KP0625AF,35817,4,4,Swift Delivery,Y,Lx-160
Richard ,Eldelina,Eldelina@livex.com,Tomohon,27-9-2017,KP0850FB,35235,3 buah,5,Swift Delivery,N,Ap-221
pao ,Halim,PAO@ymailx.com,Padang,27-9-2017,KP0550EH,35871,5 buah,1,Cepat Kirim,N,Sk-559
Raymond,Sapta,Raymond@icloudx.com,Bukittinggi,26-9-2017,KP0850FB,36674,7,5,Wakanda Express,N,Yx-559
Roberto,Arpan,Roberto@gmailx.com,Pasuruan,26-9-2017,KP0750AJ,36374,8,5,Pru Logistic,N,Ej-123
Lovri,Nelson,Lovri@livex.com,Gorontalo,25-9-2017,KP0850FB,36752,8,4,Swift Delivery,Y,Sv-983
Herman,hambali,Hambali@ymailx.com,Jayapura,25-9-2017,KP0425CB,36030,7,3,Cepat Kirim,Y,Ti-990
benny ,Santoso,"BENNY@ymailx.com,",Solok,22-9-2017,KP0150BH,35284,7 buah,N/A,Cepat Kirim,Y,Xc-559
sugiono ,Tandjung,Sugiono@rocketmailx.com,Tanjungpinang,22-9-2017,KP0750AJ,35162,9 buah,4,Cepat Kirim,N,Jx-809
Dr.,Tenacious,Tenacious@icloudx.com,Parepare,22-9-2017,KP0225BB,36056,6,4,Swift Delivery,Y,Jb-290
